Sr No, Blood Bank Name, State, District, City, Address, Qualification Nodal Officer, Category, Blood Component Available, Apheresis, Service Time, License #, Date License Obtained, Date of Renewal, Latitude, Longitude,label
1,G.B. Pant Hospital Blood bank,Andaman And Nicobar Islands,SOUTH ANDAMAN,Port Blair,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
",MBBS,Government,YES,NO,24X7,DL1/CLAA/ANI,14.6.1996,01.01.2012,11.675442,92.747338,0
2,I.N.H.S. Dhanvantri,Andaman And Nicobar Islands,SOUTH ANDAMAN,Port Blair,"Ashvini Nagar, Port Blair, Andaman and Nicobar Islands.","MBBS, MD (Pathology)",Government,NO,NO,24X7,DL2/CLAA/ANI,14.06.1996,31.12.2016,11.649693,92.717418,0
3,Pillar Health Centre Blood Bank,Andaman And Nicobar Islands,SOUTH ANDAMAN,Port Blair,"Lamba Line,
P.B. 526,
P.O. Junglighat, 
Opposite Airport","MBBS, MD (Medicine)",Charity,NO,NO,24X7,DL3/CLAA/ANI,08.09.2010,10.06.2015,11.653229,92.730714,0
4,"Indian Red Cross Society Blood Bank, District Branch",Andhra Pradesh,ANANTAPUR,Anantapur,"Near JNTU Engeneering College, Sarada Nagar, Ananthapur.","MBBS, MD, DCP",Charity,YES,NO,24x7,13/ATP/AP/2005/BB/R,22.11.2005,21.11.2015,14.654936,77.609915,0
5,Government General Hospital Blood Bank,Andhra Pradesh,ANANTAPUR,Ananthapur,"Government General Hospital, Ananthapur","MBBS, MD (Pathology)",Government,YES,NO,24x7,50/ATP/AP/97/BB/R,28.01.1997,01.01.2013,14.671459,77.596684,0
6,Indian Red Cross Society,Andhra Pradesh,ANANTAPUR,Ananthapur,"Blood Bank Medical Officer,Blood Bank, Indian Red Cross Society, Anantpur",MBBS,Charity,YES,NO,24x7,DL-41-MB/SLA/CLAA/WB,1/1/2012,31-12-2016,14.681888,77.600591,0
7,Rural Development Trust Hospital Blood Bank,Andhra Pradesh,ANANTAPUR,Bathalapalli,"Kadiri Road, Bathalapalli, Ananthapur",MD (Pathology),Charity,YES,NO,24x7,13/AT/AP/2003/BB/R,28.08.2003,Renewal under Process,14.652907,77.618826,0
8,South Central Railway Hospital Blood Bank,Andhra Pradesh,ANANTAPUR,Guntakal,"S.C. Railway Hospital, Guntakal, Ananthapuramu",MBBS,Government,NO,NO,24x7,79/AT/AP/97/BB/G,28.01.1997,31-12-2016,15.172889,77.366103,0
9,Indian Red Cross Society Blood Bank,Andhra Pradesh,ANANTAPUR,Hindupur,"Government General Hospital Blood Bank, Hindupur, Ananthapur
",MBBS,Charity,NO,NO,24x7,01/ATP/AP/2011/BB	,07.04.2011,06.06.2015,13.832533,77.492214,0
10,Indian Red Cross Society Blood bank RCH -II KADIRI,Andhra Pradesh,ANANTAPUR,Kadiri,"Ground Floor, APVVP (Government General Hospital) Area Hospital, Kadiri, Ananthapur
","MBBS, Diploma in Dermatology",Government,NO,NO,24x7,ATP/AP/2008/BB/G	,16.07.2008	,15.07.2013,14.113089,78.157366,0
11,S.S.S.I.H.M.S. Blood Bank,Andhra Pradesh,ANANTAPUR,Puttaparthy,"Prasanthigram, Puttaparthy, Ananthapuramu",MBBS,Government,NO,NO,24x7,DL-41-MB/SLA/CLAA/WB,1/1/2012,31-12-2016,14.151889,77.77685,0
12,District Head Quarters Hospital Blood Bank. ,Andhra Pradesh,CHITTOOR,Chittoor,"Head Quarters  Hospital Compound, Chittoor",MBBS MD (Dermatology),Government,YES,NO,24x7,53/CPR/AP/1997/BB/R,27.01.1997,31.12.2017,13.217176,79.100329,0
13,Indian Red Cross Society,Andhra Pradesh,CHITTOOR,Chittoor,"The Secretary, Indian Red Cross Society, D:No:20-119, PH Road, Redcross Building, Chittoor 517 001, Andhra Pradesh Dr.M.V.Narayana Reddy (MO), Ph:08572 220287",MBBS,Charity,YES,NO,24x7,DL-41-MB/SLA/CLAA/WB,1/1/2012,31-12-2016,13.217176,79.100329,0
14,M/s IRCS Blood Bank.,Andhra Pradesh,CHITTOOR,Chittoor,"D.No. 20 - 119, Prakasam High Road, Chittor","MBBS, DO",Charity,NO,NO,24x7,17/CT/AP/2002/BB/R		,16.12.2002,01.01.2013,13.21698,79.100764,0
15,M/s PESIMSR Blood Bank.,Andhra Pradesh,CHITTOOR,Kuppam,"PES Institute of medical sciences premises, Kuppam
","MBBS, MD (Pathology)",Private,YES,NO,24X7,8/CP/AP/2003/BB/R,25.06.2003,25.06.2018,12.791223,78.363897,0
16,Blood Bank AH Madanapalli,Andhra Pradesh,CHITTOOR,Madanapalli," The Blood Bank Medical Officer, Area Hospital, Patel Road, Madanapalli 517 325, Chittoor Dist. , Andhra pradesh Dr.Laxmiprasadreddy9(M.O)",MBBS,Charity,YES,NO,24x7,18/CT/AP/2009/BBG,1/1/2012,31-12-2016,13.217176,79.100329,0
