Sr No, Blood Bank Name, State, District, City, Address, Website, Qualification Nodal Officer, Category, Blood Component Available, Apheresis, Service Time, Latitude, Longitude
1,G.B. Pant Hospital Blood bank,Andaman And Nicobar Islands,SOUTH ANDAMAN,Port Blair,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
",,,Government,YES,NO,24X7,11.675442,92.747338
2,I.N.H.S. Dhanvantri,Andaman And Nicobar Islands,SOUTH ANDAMAN,Port Blair,"Ashvini Nagar, Port Blair, Andaman and Nicobar Islands.",,"MBBS, MD (Pathology)",Government,NO,NO,24X7,11.649693,92.717418
3,Pillar Health Centre Blood Bank,Andaman And Nicobar Islands,SOUTH ANDAMAN,Port Blair,"Lamba Line,
P.B. 526,
P.O. Junglighat, 
Opposite Airport",,"MBBS, MD (Medicine)",Charity,NO,NO,24X7,11.653229,92.730714
4,"Indian Red Cross Society Blood Bank, District Branch",Andhra Pradesh,ANANTAPUR,Anantapur,"Near JNTU Engeneering College, Sarada Nagar, Ananthapur.",,"MBBS, MD, DCP",Charity,YES,NO,24x7,14.654936,77.609915
5,Government General Hospital Blood Bank,Andhra Pradesh,ANANTAPUR,Ananthapur,"Government General Hospital, Ananthapur",,"MBBS, MD (Pathology)",Government,YES,NO,24x7,14.671459,77.596684
6,Indian Red Cross Society,Andhra Pradesh,ANANTAPUR,Ananthapur,"Blood Bank Medical Officer,Blood Bank, Indian Red Cross Society, Anantpur",,,Charity,YES,NO,24x7,14.681888,77.600591
7,Rural Development Trust Hospital Blood Bank,Andhra Pradesh,ANANTAPUR,Bathalapalli,"Kadiri Road, Bathalapalli, Ananthapur",,MD (Pathology),Charity,YES,NO,24x7,14.652907,77.618826
8,South Central Railway Hospital Blood Bank,Andhra Pradesh,ANANTAPUR,Guntakal,"S.C. Railway Hospital, Guntakal, Ananthapuramu",,,Government,NO,NO,24x7,15.172889,77.366103
9,Indian Red Cross Society Blood Bank,Andhra Pradesh,ANANTAPUR,Hindupur,"Government General Hospital Blood Bank, Hindupur, Ananthapur
",,MBBS,Charity,NO,NO,24x7,13.832533,77.492214
10,Indian Red Cross Society Blood bank RCH -II KADIRI,Andhra Pradesh,ANANTAPUR,Kadiri,"Ground Floor, APVVP (Government General Hospital) Area Hospital, Kadiri, Ananthapur
",,"MBBS, Diploma in Dermatology",Government,NO,NO,24x7,14.113089,78.157366
11,S.S.S.I.H.M.S. Blood Bank,Andhra Pradesh,ANANTAPUR,Puttaparthy,"Prasanthigram, Puttaparthy, Ananthapuramu",,MBBS,Government,,,24x7,14.151889,77.77685
12,District Head Quarters Hospital Blood Bank. ,Andhra Pradesh,CHITTOOR,Chittoor,"Head Quarters  Hospital Compound, Chittoor",,MBBS MD (Dermatology),Government,YES,NO,24x7,13.217176,79.100329
13,Indian Red Cross Society,Andhra Pradesh,CHITTOOR,Chittoor,"The Secretary, Indian Red Cross Society, D:No:20-119, PH Road, Redcross Building, Chittoor 517 001, Andhra Pradesh Dr.M.V.Narayana Reddy (MO), Ph:08572 220287",,,Charity,YES,NO,24x7,13.217176,79.100329
14,M/s IRCS Blood Bank.,Andhra Pradesh,CHITTOOR,Chittoor,"D.No. 20 - 119, Prakasam High Road, Chittor",,"MBBS, DO",Charity,NO,NO,24x7,13.21698,79.100764
15,M/s PESIMSR Blood Bank.,Andhra Pradesh,CHITTOOR,Kuppam,"PES Institute of medical sciences premises, Kuppam
",,"MBBS, MD (Pathology)",Private,YES,NO,24X7,12.791223,78.363897
16,Blood Bank AH Madanapalli,Andhra Pradesh,CHITTOOR,Madanapalli," The Blood Bank Medical Officer, Area Hospital, Patel Road, Madanapalli 517 325, Chittoor Dist. , Andhra pradesh Dr.Laxmiprasadreddy9(M.O)",,,Charity,YES,NO,24x7,13.217176,79.100329
17,"Indian Red Cross Society, Madanapalli RCH 2",Andhra Pradesh,CHITTOOR,Madnapalli,"Area Hospital, Patel Road, Madanapalli.
",,MBBS,Government,NO,NO,24X7,13.556927,78.50085
18,"Aswini Hospital Blood Bank, TTD",Andhra Pradesh,CHITTOOR,Tirumala,"Tirumala Tirupati Devastanam (TTD), Tirumala, Chittoor ",,,Charity,,,24x7,13.677292,79.3487
19,SVRRGGH - Model Blood Bank,Andhra Pradesh,CHITTOOR,Tirupati,"S.V.R.R. Government General Hospital, Tirupati
",,"MBBS, MD (Pathology)",Government,YES,NO,24x7,13.644382,79.407003
20,Sri Venkateswara Institute of Medical sciences Blood Bank,Andhra Pradesh,CHITTOOR,Tirupati,"Sri Venkateswara Institute of Medical Sciences (SVIMS) Campus, Tirupati",,,Charity,,,24x7,13.637934,79.403917
21,Govt Maternity Hospital Blood Bank,Andhra Pradesh,CHITTOOR,Tirupati,"Ruia Hospital Road, Tirupati",,,Government,NO,NO,24x7,13.639418,79.409372
22, TTD Central Hospital Blood Bank,Andhra Pradesh,CHITTOOR,Tirupati,"Tirumala Tirupati Devastanam (TTD), Kapil Teertham Road, Tirupati
",,MBBS,Charity,NO,NO,24x7,13.642148,79.421067
23,S.V.S. Charitable Trust Blood Bank and Transfusion Centre,Andhra Pradesh,CHITTOOR,Tirupati,"10-13-514, 1st Floor, Reddy & Reddy Colony, Tirupathi",,,Charity,YES,YES,24 hrs,0.0,0.0
24,Government Hospital,Andhra Pradesh,EAST GODAVARI,Amalapuram,"Blood Bank Medical Officer,  Blood Bank, Government Hospital, Amalapuram",,,Government,NO,NO,24x7,16.587432,82.008431
25,"M/S. Kims & Research Foundation, Hospital Blood Bank",Andhra Pradesh,EAST GODAVARI,Amalapuram,"Kims & Research Foundation, Hospital Blood Bank, Sy.No:813 & 817, Kamanagaruvu, Near Red Bridge, Amalapuram.",,"B.Sc, MBBS, MD (Pathologist), ",Charity,YES,NO,24x7,16.592169,82.024025
26,M/s. A.P.V.V.P Area Hospital Blood Bank  ,Andhra Pradesh,EAST GODAVARI,Amalapuram,"Ground Floor Area Hospital, Amalapuram",,"MBBS, DLO",Government,NO,NO,24x7,16.575367,81.998101
27,"M/s. Government General Hospital, Blood Bank.",Andhra Pradesh,EAST GODAVARI,Kakinada,"Government General Premises, Ground Floor, Kakinada",,,Charity,YES,,24x7,16.955537,82.22748
28,M/s. Indian Red Cross Society Blood Bank,Andhra Pradesh,EAST GODAVARI,Kakinada,"D.No: 8-14-39, Ground & 1st  Floor, Red Cross Street, Gandhi Nagar, Kakinada",http://www.Indianredcross-eg.org,"MBBS, DCP",Charity,YES,YES,24x7,16.989065,82.247465
29,M/s. Rotary Blood Bank (Rotary Club Golden Jubilee Charitable Trust),Andhra Pradesh,EAST GODAVARI,Kakinada,"Second Floor, D.No:15-8-3, Brahmarishi Road, Satya Prasanna Nagar, Kakinada
",,MBBS,Charity,NO,NO,24x7,0.0,0.0
30,District Headquarters Hospital,Andhra Pradesh,EAST GODAVARI,Rajahmundry,"Blood Bank Medical Officer, Blood Bank, District Headquarters . Hospital, Rajahmundry",,,,,,24x7,17.019708,81.791631
31,M/s. G. S. L. Medical College General Hospital Blood Bank,Andhra Pradesh,EAST GODAVARI,Rajahmundry,"No-16, Lakshmi Puram, Rajanagaram, Rajahmundry.",,,Private,YES,NO,24 Hours,0.0,0.0
32,"M/s. Swatantra Hospital,  Blood Bank",Andhra Pradesh,EAST GODAVARI,Rajahmundry,"D.No: 46-13-31,1st Floor, Gowthami Scan Centre Private Limited, Near Gandhi Park,  Danaviepeta, Rajahmundry.",,MBBS,Private,NO,NO,24x7			,0.0,0.0
33,M/S. Dhanwantari Voluntary Blood Bank.,Andhra Pradesh,EAST GODAVARI,Rajahmundry,"D.No:46-21-1,2nd Floor, Danavaiepeta, Rajahmundry",,MBBS MD Microbiology; Diploma In medical Virology,Charity,YES,YES,24x7	,17.00787,81.785213
34,M/s. Government Area General Hospital Blood Bank.,Andhra Pradesh,EAST GODAVARI,Tuni,"M/s.Government Area Hospital Blood Bank, Area hospital, Tuni
",,"MBBS, DCP",Government,NO,NO,24x7,17.354937,82.541241
35,M/s. Sakthi Voluntary Blood Bank (Sakthi Association for Social Awarness),Andhra Pradesh,EAST GODAVARI,Tuni,"D.No: 3-5-9, Opposite to Raithu Bazar, Lalam Satyanarayana Hospital Street, Tuni
",,MBBS,Charity,NO,NO,24x7	,0.0,0.0
36,Government General Hospital Blood Bank,Andhra Pradesh,GUNTUR,Guntur,"Opposite to Railway Station, 1st Floor, C/o Government General Hospital, Guntur.
",,"MBBS, MD (Pathology)",Government,YES,NO,24x7	,16.299747,80.443689
37,Indian Red Cross Society,Andhra Pradesh,GUNTUR,Guntur,"Blood Bank Medical Officer, Blood Bank, Indian Red Cross Society, Guntur, District Guntur",,,Charity,YES,NO,24x7,16.306653,80.43654
38,Indian Red Cross Society Blood Bank ,Andhra Pradesh,GUNTUR,Guntur city,"Zilla Parishad Compound, Nagarampalem, GUNTUR
",,MBBS,Charity,NO,NO,24x7	,16.306653,80.43654
39,Lions Club of Guntur Vision Blood Bank,Andhra Pradesh,GUNTUR,Guntur city,"1st Floor, Somuvari Street, Kothapeta, Guntur",,,Charity,YES,,,0.0,0.0
40,Padmavathi Day & Night Blood Bank,Andhra Pradesh,GUNTUR,Guntur city,"Opposite to Head Post Office, Behind Veterinary Hospital, Kothapeta ",,,Private,YES,,,0.0,0.0
41,M/s. Needs Blood Bank ,Andhra Pradesh,GUNTUR,Guntur city,"1st Floor, Honda Show Room Building, Opposite Doctor Plaza, Kothapeta
",,MBBS ,Charity,YES,YES,24x7,16.29882,80.448888
42,M/s. Sri Lakshmi Maternity & Surgical Nursing Home Blood Bank ,Andhra Pradesh,GUNTUR,Guntur city,"4th Floor, Behind Sivalayam Temple, Kothapeta
",,,Private,YES,,,0.0,0.0
43,Saint Joseph General Hospital Blood Bank,Andhra Pradesh,GUNTUR,Guntur city,"Opposite to Andhra Christian College, Near Flyover, Main Road, Guntur
",,"MBBS, DGO",Charity,NO,NO,24x7				,16.297514,80.440648
44,NTR Memorial Trust Blood Bank,Andhra Pradesh,GUNTUR,Guntur city,"Door No. 13-2-87, 1st Line G. V. Thota",,,Charity,YES,,,0.0,0.0
45,Katuri Medical College and Hospital Blood Bank ,Andhra Pradesh,GUNTUR,Guntur Rural,"Katuri Nagar, Chinakondrupadu, Guntur
",,MD (Pathology) ,Private,YES,NO,24x7	,16.227872,80.30947
46,NRI Medical College and General Hospital Blood Bank,Andhra Pradesh,GUNTUR,Guntur Rural,"Mangalagiri Mandalam, Chinakakani, Guntur
",,"MBBS, DCP",Private,YES,NO,24X7,16.413675,80.555675
47,Manipal Hospital Bloodbank,Andhra Pradesh,GUNTUR,Guntur Rural,"Soumyanagar, Tadepalli, Guntur",http://www.manipalhospital.org,"MBBS, MD (Pathology) ",Private,YES,YES,24x7	,16.484433,80.617219
48,Indian Red Cross Society Blood Bank. Narassraopet,Andhra Pradesh,GUNTUR,Narasaraopeta,"Area Hospital, Narasaraopeta ",,,Charity,NO,,24x7,16.235919,80.048412
49,NRT Blood Bank,Andhra Pradesh,GUNTUR,Narasaraopeta,"GBR Super Speciality Hospital, 10-1-10/1, Palnadu Road, Narasaraopeta
",,"MBBS, DA",Private,YES,YES,24X7,16.193331,80.019956
50,Anjireddy Multi Specality Blood Bank ,Andhra Pradesh,GUNTUR,Piduguralla,"Gaganamma Temple, Piduguralla
",,MBBS,Private,YES,NO,24X7,16.478789,79.893642
51,Red Cross Blood Bank,Andhra Pradesh,GUNTUR,Repalle," Government Hospital Premises
 Repalle-522265
 Guntur Dist,A.P
",,"MBBS, DCH",Charity,NO,NO,24x7,16.017425,80.829475
52,Area Hospital (Repeated),Andhra Pradesh,GUNTUR,Tenali,"Blood Bank Medical Officer,  Blood Bank, Area Hospital, Tenali, Guntur District",,,,,,24x7,16.239531,80.64934
53,APVVP District Hospital Blood Bank,Andhra Pradesh,GUNTUR,Tenali,"APVVP District Hospital Premises, Chenchupeta, Tenali, Guntur",,,Government,YES,,,0.0,0.0
54,Rudhira Voluntary Blood Bank,Andhra Pradesh,GUNTUR,Tenali,"D.No. 7-5-56, KRR Complex, 1st Floor, Opposite ASN college, Prakasam Road, Ganganammapeta, Tenali",,MBBS,Private,NO,NO,24x7,16.243428,80.646397
55,Best Rotary Blood Bank,Andhra Pradesh,GUNTUR,Tenali,"Mahila Mandali Building, Sarojini Naidu Street, Kothapeta, Tenali 
",,MBBS	,Private,NO,NO,24X7,16.251179,80.64934
56,Area Hospital Blood Bank,Andhra Pradesh,KRISHNA,Gudivada,Gudivada,,"MBBS, Diploma in Orthopaedics",Government,NO,NO,24x7,16.349045,81.049715
57,Dr. Pattabhi Red Cross Blood Bank ,Andhra Pradesh,KRISHNA,Machilipatnam,"DM & HO Campus, Machilipatnam",,"MBBS, DA, DLO",Charity,NO,NO,24x7,16.190546,81.136154
58,Government General Hospital (Repeated),Andhra Pradesh,KRISHNA,Vijayawada,"Government General Hospital, Ramavarapadu, Vijayawada - 520007",,,,,,24x7,16.513339,80.618989
59,Government District Headquarters Hospital machilipatnam blood bank,Andhra Pradesh,KRISHNA,Vijayawada,Machilipatnam,,MD D ORTHO,Government,NO,,24x7,16.176867,81.138647
60,Rotary Red Cross Blood Bank,Andhra Pradesh,KRISHNA,Vijayawada,"H.No: 26-5-5, G.S Raju Street, Gandhinagar, Vijayawada - 520003. Krishna District

",,MBBS,Charity,YES,NO,24x7,16.506174,80.648015
61,Vijaya Sri Blood Bank,Andhra Pradesh,KRISHNA,Vijayawada,"VijayaSri Palace,D. No. 29-19-27/4, Ground Floor, First Floor and Second Floor, Dornakal Road, Suryaraopet, Vijayawada",,MBBS,Charity,YES,YES,24x7,16.51304,80.635644
62,Lions Blood Bank,Andhra Pradesh,KRISHNA,Vijayawada,"D. No. 29-19-85, 1st & 2nd Floor,Old Janatha Hospital Building, Dornakal Road, Suryaraopet, Vijayawada
",,MBBS,Charity,NO,NO,24x7,16.506174,80.648015
63,University General Hospital Blood Bank,Andhra Pradesh,KRISHNA,Vijayawada,"Ring Road, Gunadala, Vijayawada",,"MBBS, MD (Bio-chemistry)",Government,NO,NO,24x7			,16.516111,80.670085
64,M/s. Chaitanya Blood Bank,Andhra Pradesh,KRISHNA,Vijayawada,"40-9/1-26, Vasavya Complex, Benz Circle, Vijayawada
",,MBBS (MD Pathology),Charity,YES,YES,24x7,16.498839,80.655488
65,Nagarjuna Hospital Blood Bank,Andhra Pradesh,KRISHNA,Vijayawada,"Kanuru, Vijayawada",,,Private,NO,,,0.0,0.0
66,Saint Ann&#39;s Hospital Blood Bank  ,Andhra Pradesh,KRISHNA,Vijayawada,"Punnammathota, Bandhar Road, Vijayawada - 2
",,MBBS,Private,NO,NO,24x7	,0.0,0.0
67,Rotary Red Cross Blood Bank (Repeated),Andhra Pradesh,KRISHNA,Vijayawada,"26-5-5, G.S. Raju Road, Vijayawada ",,,Charity,NO,,,0.0,0.0
68,Dr. Pinnamaneni Siddhartha Insitiute of Medical Sciences & Research Foundation (Dr.P.SIMS & RF) Blood Bank  ,Andhra Pradesh,KRISHNA,Vijayawada,Chinnaoutapalli. ,,"MBBS, MD (Pathology)",Private,YES,NO,24x7	,16.551655,80.832047
69,Bethesda Blood Bank,Andhra Pradesh,KRISHNA,Vijayawada,"29-10-2, Ground Floor, Narsimharao Street, Suryaraopet, Vijayawada ",,,,NO,,,16.512971,80.632664
70,"Smt CH. Manju Vani Vara Prasad, Lions District 316D Blood Bank ",Andhra Pradesh,KRISHNA,Vijayawada,"H.No.29-4-54K, Conan Dhanvoda Anantham Complex, Prakasam Road, Suryaraopet, Vijayawada",,MBBS,Charity,YES,YES,24x7,16.510309,80.63251
71,Suraksha Voluntary Blood Bank,Andhra Pradesh,KRISHNA,Vijayawada,"29-10-8, Govinda Rajulu Naidu Street, Suryaraopet, Vijayawada 
",,"MBBS, MS",Charity,YES,NO,24x7	,16.51343,80.632861
72,M/s Ayush Nri Lepl Health Care Private Limited  ,Andhra Pradesh,KRISHNA,Vijayawada,"First Floor, D. No. 40-13-3& 3A, Ring Road, Sriramachandra Nagar, Vijayawada
",http://www.aayushhospitals.com,"MBBS, MD (Pathology)",Private,YES,YES,24x7,0.0,0.0
73,M/s. Nimra Institute of Medical Sciences ,Andhra Pradesh,KRISHNA,Vijayawada,"Ground Floor, Adjacent to Central Lab, Teaching Hospital & Research Centre, Nimranagar, Jupudi, Ibrahimpatmnam, Vijayawada.Krishna ",,,Private,YES,NO,,0.0,0.0
74,"RCH -II Blood Bank, Area Hospital, Adoni",Andhra Pradesh,KURNOOL,Adoni,"Dr. H. Siva Reddy, Civil Surgeon RMO (Rtd),Medical Officer  IRCS, RCH-II, Blood Bank, Area Hospital, Adoni-518301",,,Government,NO,NO,24x7,15.632223,77.272837
75,M/s. Indian Red Cross Society Blood Bank RCH 2,Andhra Pradesh,KURNOOL,Adoni,"First Floor, Government Area Hospital, Adoni, Kurnool
",,MBBS,Charity,NO,NO,24x7,15.632223,77.272837
76,M/s. Government General Hospital Blood Bank,Andhra Pradesh,KURNOOL,Kurnool,kurnool,,,Government,,,24x7,15.820654,78.038088
77,M/s. Indian Red Cross Society Blood Bank,Andhra Pradesh,KURNOOL,Kurnool,"Opposite Ravi Theatre, D.M & H.O Compound, Beside Control Room, Kurnool
",,"MBBS, MD (Pathology)",Charity,YES,YES,24x7	,15.816357,78.040317
78,M/s. Viswa Bharathi General Hospital Blood Bank,Andhra Pradesh,KURNOOL,Kurnool,"2nd Floor, R. T. Nagar, Near Penchikalapadu (v) Kallur (m), Kurnool ",,,Government,,,,0.0,0.0
79,M/s. Viswa Bharathi Blood Bank,Andhra Pradesh,KURNOOL,Kurnool,"D. No. 50/760-A-127-13,1st Floor (O.P. Block), Gayathri Estate, Kurnool.",,,Charity,,,,0.0,0.0
80,M/s. R.R. Hospital Blood Bank,Andhra Pradesh,KURNOOL,Kurnool,"D.No.40-304-10, 2nd Floor, Bhagya Nagar, Kurnool",,"MBBS, MS",Private,YES,YES,24x7	,15.82872,78.035743
81,District Hospital Blood Bank ,Andhra Pradesh,KURNOOL,Nandyal,"District Hospital, Noonepalli, Nandyal, Kurnool
",,"MBBS, MD (Pathology)",Government,NO,NO,24x7,15.469336,78.482935
82,M/s. Shantiram Medical College & General Hospital Blood Bank,Andhra Pradesh,KURNOOL,Nandyal,"(Shafa Educational Society) NH-18, Nandyal",,,,,,,0.0,0.0
83,Government Hospital Blood Bank,Andhra Pradesh,KURNOOL,Srisailam Project,"Blood Bank Medical Officer,  Blood Bank, Government Hospital, Srisailam Project, Kurnool District",,,,,,24x7,16.0833,78.8667
84,M/s. Area Hospital Blood Bank,Andhra Pradesh,PRAKASAM,Chirala,"Ground Floor, Room No.10, Area Hospital, Chirala, Prakasam ",,MBBS,Government,NO,NO,24x7,15.825971,80.36127
85,Indian Red Cross Society Blood bank,Andhra Pradesh,PRAKASAM,Markapur,"A.P.V.P. Area Hospital, Cumbum Road, Markapur",,MBBS,Charity,NO,NO,24x7,15.736154,79.269125
86,M/s. RIMS General Hospital Blood Bank,Andhra Pradesh,PRAKASAM,Ongole,"C/o. RIMS General Hospital , D.No. 8-5-2/A, Opposite Bapuji Kalamandir, Bhagya Nagar, 5th Lane, Ongole
",http://www.rimsongole.org/hospital.aspx,,Government,NO,,24x7,15.487882,80.047144
87,Indian Red Cross Society Blood Bank,Andhra Pradesh,PRAKASAM,Ongole,"IRCS Blood Bank, Railway Station Road, SanthaPeta, Ongole, Prakasam
",http://www.REDCROSS-prakasam.org,MBBS,Charity,NO,NO,24x7,15.505723,80.049922
88,M/s. Life Line Volunytary Blood Bank,Andhra Pradesh,PRAKASAM,Ongole,"D. No.37-1-169/54, 2nd Floor, Sundharaiah Bhavan Raod, Ongole.
",,MBBS MD (Gen.Med),Charity,NO,NO,24x7	,15.481367,80.05908
89,M/s. Belief Blood Bank,Andhra Pradesh,PRAKASAM,Ongole,"3rd Floor, Sai Complex, Addanki Bus Stop, Ongole
",,MBBS (Orthopaedics),Charity,YES,YES,24x7			,15.481367,80.05908
90,Government Hospital Blood Bank,Andhra Pradesh,SPSR NELLORE,Gudur,"Area Hospital Compound, Gudur
",,"MBBS,DTCD;",Government,NO,NO,24x7,14.146545,79.848756
91,M/s. Kanamarlapudi Koteswara Rao Indian Red Cross Society (IRCS) (REPEATED),Andhra Pradesh,SPSR NELLORE,Kavali,"Survey No.1083/3, R.D Office Compound, Kavali.",,,Charity,,,,0.0,0.0
92,M/s. APVVP Area Hospital Blood Bank,Andhra Pradesh,SPSR NELLORE,Kavali,Area Hospital Compound Kavali,,,Government,,,,0.0,0.0
93,M/s. Kanamarlapudi Koteswara Rao Indian Red Cross Society Blood Bank,Andhra Pradesh,SPSR NELLORE,Kavali,"Survey No.1083/3, R.D. Office Compound, Kavali
",,MBBS,Charity,NO,NO,24x7,14.913181,79.99298
94,Indian Red Cross Society Blood Bank,Andhra Pradesh,SPSR NELLORE,Nellore,"Indian Red Cross Society (IRCS) Road, Madras Bus stand, Nellore 

",,MBBS,Charity,YES,NO,24x7,14.426777,79.959008
95,District Headquarters Hospital (Repeated),Andhra Pradesh,SPSR NELLORE,Nellore,"District Headquarters Hospital, Dargamitta, Nellore",,,,,,24x7,14.435424,79.966831
96,D.S.R. Headquarters Hospital Blood Bank,Andhra Pradesh,SPSR NELLORE,Nellore,"Government Hospital Compound, Nellore",,,Government,,,,0.0,0.0
