Pincode, Contact No, Mobile, Helpline, Fax, Email, Website, Nodal Officer , Contact Nodal Officer, Mobile Nodal Officer, Email Nodal Officer,label
744104,03192 230628,9434266561,102, 0565 2443310,bbgbpant@gmail.com,http://redcrosskarnataka.org/,Dr.Ganesh Samaddar,03192 230628,9434266561,ganeshsamadder7@gmail.com,1
744103,03192 248759,8001452200,0788 2219888, 0565 2443310,na,http://redcrosskarnataka.org/,Dr.Smiriti Mathur,03192 248759,8001452200,mesmriti@yahoo.com,1
744104,"03192 233193, 03192 233993",9474247585,03192 233193, 0565 2443310,pillarbloodbank2016@gmail.com,http://redcrosskarnataka.org/,Dr. Sr. Cross Mary,"03192 233193, 03192 233993",9474247585,crossgracy2003@yahoo.co.in,1
515002,08554 246344,9441192365,0788 2219888,08554 246344,na,http://redcrosskarnataka.org/,Dr.G. Parvathi & Dr.G. Ramanjaneyulu Naidu,	,"09441125444, 09440286555",ircsbloodbank.anantapur@gmail.com,1
515001,08554 275024,9866695858,0788 2219888, 0565 2443310,bloodbankgghatp@gmail.com,http://redcrosskarnataka.org/,Dr. Shiva kumar & Dr. Swapna ,08554 275024,"09866695858, 09912938380",bloodbankgghatp@gmail.com,1
515001,8554246344,Dist.Secretary 9866023293,0788 2219888, 0565 2443310,ircsbloodbank.anantapur@gmail.com,http://redcrosskarnataka.org/,Dr. Ashok Kumar,	,9822324340,nandkishor@arpanbloodbank.org,1
515661,08559 244259,9493268861,0788 2219888, 0565 2443310,na,http://redcrosskarnataka.org/,Dr. Hariharanadha Sharma,	,9177155517,syanakishore@yahoo.co.in,1
515801,08552 227166,9701374501,0788 2219888, 0565 2443310,na,http://redcrosskarnataka.org/,Dr. Ashok Kumar,	,9822324340,scrhbloodbank@gmail.com					,1
515201,08556 225900,"09815157018, 09501620619",0788 2219888, 0565 2443310,ircshup@gmail.com,http://redcrosskarnataka.org/,Dr. M. Satyam,9490978739,9490978739,ircshup@gmail.com,1
515591,08494 221544,9989738689,0788 2219888, 0565 2443310,kadiriircs@gmail.com,http://redcrosskarnataka.org/,Dr. G. P. Subbrayudu	,	,9989738689,kadiriircs@gmail.com,1
515134,08555 287900,9490360321,0788 2219888, 0565 2443310,saikiran_ptp@yahoo.co.in,http://redcrosskarnataka.org/,Dr. Sai Kiran,	,9490360321,sssihmspg@gmail.com,1
517001,0251 2442283,9849229482,0788 2219888, 0565 2443310,bloodbankctr1@gmail.com,http://redcrosskarnataka.org/,Dr. K. Babu Rajendra Prasad,	,9849229482,bloodbankctr1@gmail.com,1
517001,8572220287,"09815157018, 09501620619",0788 2219888, 0565 2443310,indian red cross society indian red corss society ,http://redcrosskarnataka.org/,Dr. Ashok Kumar,	,9822324340,nandkishor@arpanbloodbank.org,1
517001,08572 220287 ,9849229482,0788 2219888, 0565 2443310,ircschittoor@gmail.com,http://redcrosskarnataka.org/,Dr. M. V. Narayana Reddy	,	,8019383106,ircschittoor@gmail.com,1
517425,08570 256737,9391833741,0788 2219888,08570 257200,pathpesimsr@gmail.com,http://redcrosskarnataka.org/,Dr. B. M. Prasanth ,	,9391833741,pathpesimsr@gmail.com,1
517325,8571222087, ,0788 2219888, 0565 2443310,  ircsbbmpl2009@gmail.com,http://redcrosskarnataka.org/,Dr. Ashok Kumar,	,9822324340,nandkishor@arpanbloodbank.org,1
517325,08571 222087,9440580272,0788 2219888, 0565 2443310, ircsbbmpl2009@gmail.com,http://redcrosskarnataka.org/,Dr. P. Radhakrishna Reddy,	,9440580272, ircsbbmpl2009@gmail.com,1
517507,9490651605,9490651605,0788 2219888, 0565 2443310,suresh.bandapalli@gmail.com,http://redcrosskarnataka.org/,Dr. Ashok Kumar,	,9822324340,nandkishor@arpanbloodbank.org,1
