Sr No, Blood Bank Name, State,Pincode, Contact No, Mobile, Helpline, Fax, Email, Website, Email Nodal Officer, Category, Apheresis, License #, Date License Obtained, Date of Renewal, Latitude, Longitude
1,G.B. Pant Hospital Blood bank,Andaman And Nicobar Islands,744104,03192 230628,9434266561,102,,bbgbpant@gmail.com,,ganeshsamadder7@gmail.com,Government,NO,DL1/CLAA/ANI,14.6.1996,01.01.2012,11.675442,92.747338
2,I.N.H.S. Dhanvantri,Andaman And Nicobar Islands,744103,03192 248759,8001452200,,,,,mesmriti@yahoo.com,Government,NO,DL2/CLAA/ANI,14.06.1996,31.12.2016,11.649693,92.717418
3,Pillar Health Centre Blood Bank,Andaman And Nicobar Islands,744104,"03192 233193, 03192 233993",9474247585,03192 233193,,pillarbloodbank2016@gmail.com,,crossgracy2003@yahoo.co.in,Charity,NO,DL3/CLAA/ANI,08.09.2010,10.06.2015,11.653229,92.730714
4,"Indian Red Cross Society Blood Bank, District Branch",Andhra Pradesh,515002,08554 246344,9441192365,,08554 246344,,,ircsbloodbank.anantapur@gmail.com,Charity,NO,13/ATP/AP/2005/BB/R,22.11.2005,21.11.2015,14.654936,77.609915
5,Government General Hospital Blood Bank,Andhra Pradesh,515001,08554 275024,9866695858,,,bloodbankgghatp@gmail.com,,bloodbankgghatp@gmail.com,Government,NO,50/ATP/AP/97/BB/R,28.01.1997,01.01.2013,14.671459,77.596684
6,Indian Red Cross Society,Andhra Pradesh,515001,8554246344,Dist.Secretary 9866023293,,,ircsbloodbank.anantapur@gmail.com,,,Charity,NO,,,,14.681888,77.600591
7,Rural Development Trust Hospital Blood Bank,Andhra Pradesh,515661,08559 244259,9493268861,,,,,syanakishore@yahoo.co.in,Charity,NO,13/AT/AP/2003/BB/R,28.08.2003,Renewal under Process,14.652907,77.618826
8,South Central Railway Hospital Blood Bank,Andhra Pradesh,515801,08552 227166,9701374501,,,,,scrhbloodbank@gmail.com					,Government,NO,79/AT/AP/97/BB/G,28.01.1997,,15.172889,77.366103
9,Indian Red Cross Society Blood Bank,Andhra Pradesh,515201,08556 225900,,,,ircshup@gmail.com,,ircshup@gmail.com,Charity,NO,01/ATP/AP/2011/BB	,07.04.2011,06.06.2015,13.832533,77.492214
10,Indian Red Cross Society Blood bank RCH -II KADIRI,Andhra Pradesh,515591,08494 221544,9989738689,,,kadiriircs@gmail.com,,kadiriircs@gmail.com,Government,NO,ATP/AP/2008/BB/G	,16.07.2008	,15.07.2013,14.113089,78.157366
11,S.S.S.I.H.M.S. Blood Bank,Andhra Pradesh,515134,08555 287900,9490360321,,,saikiran_ptp@yahoo.co.in,,sssihmspg@gmail.com,Government,,,,,14.151889,77.77685
12,District Head Quarters Hospital Blood Bank. ,Andhra Pradesh,517001,,9849229482,,,bloodbankctr1@gmail.com,,bloodbankctr1@gmail.com,Government,NO,53/CPR/AP/1997/BB/R,27.01.1997,31.12.2017,13.217176,79.100329
13,Indian Red Cross Society,Andhra Pradesh,517001,8572220287,,,,indian red cross society indian red corss society ,,,Charity,NO,,,,13.217176,79.100329
